order_id,product_name,category,unit_price,quantity,discount,order_date,ship_date,region,salesperson
ORD-001,Wireless Mouse,Electronics,$29.99,5,10%,01/05/2024,01/07/2024,North,  John Smith
ORD-002,USB-C Cable,ACCESSORIES,12.99,10,0%,2024-01-06,2024-01-08,south,jane doe
ORD-003,laptop stand,Office,$49.99,3,15 percent,Jan 7 2024,January 9 2024,EAST,BOB WILSON
ORD-004,Webcam HD,electronics,79.99 USD,2,,01-08-2024,01-10-2024,West,alice jones
ORD-005,Desk Organizer,office,$24.99,8,5%,2024/01/09,2024/01/11,north,John Smith
ORD-006,Bluetooth Headset,Electronics,$89.99,1,20%,January 10, 2024,,South,  JANE DOE
ORD-007,monitor arm,OFFICE,129.99,4,10 %,01/11/24,01/13/24,east,Bob Wilson
ORD-008,Power Strip,Accessories,$19.99,15,0,2024-01-12,2024-01-14,WEST,Alice Jones
ORD-009,Keyboard Wireless,electronics,$59.99,6,twelve percent,Jan 13 2024,Jan 15 2024,North,john smith
ORD-010,Mouse Pad XL,accessories,14.99 dollars,20,5%,01-14-2024,01-16-2024,south,Jane Doe
ORD-003,laptop stand,Office,$49.99,3,15 percent,Jan 7 2024,January 9 2024,EAST,BOB WILSON
ORD-011,USB Hub,Electronics,$34.99,7,none,2024-01-15,,east,bob wilson
ORD-012,Cable Management,office,$9.99,25,10%,January 16 2024,January 18 2024,West,ALICE JONES
